timestamp [UTC],EventType,EventId,SeverityLevel_int,SeverityLevel_string,Message,Duration,Success,Component,ALObjectType,ALObjectId,ALObjectName,ExtensionName,ExtensionVersion,SessionId,UserTelemetryId,CompanyName,customDimensions
"10/30/2025, 9:47:48.143 PM",Trace,RT0008,1,,Web service called (Soap): OmniWrapper,0,TRUE,Dynamics 365 Business Central Server,Codeunit,10033100,,LS Central,22.2.0.1000616,,,Stórkaup ehf,"{""extensionVersion"":""22.2.0.1000616"",""category"":""Soap"",""alObjectId"":""10033100"",""componentVersion"":""22.0.57579.0"",""endpoint"":""OmniWrapper"",""extensionId"":""5ecfc871-5d82-43f1-9c54-59685e82318d"",""serverExecutionTime"":""00:00:00.0016233"",""component"":""Dynamics 365 Business Central Server"",""aadTenantId"":""common"",""totalTime"":""00:00:00.0016233"",""sqlExecutes"":""2"",""alObjectType"":""Codeunit"",""extensionPublisher"":""LS Retail"",""extensionName"":""LS Central"",""clientType"":""WebServiceClient"",""sqlRowsRead"":""2"",""environmentType"":""Production"",""companyName"":""Stórkaup ehf"",""eventId"":""RT0008"",""telemetrySchemaVersion"":""0.12""}"
"10/30/2025, 9:47:48.141 PM",Trace,RT0004,1,,Authorization Succeeded (Open Company),0,TRUE,Dynamics 365 Business Central Server,,,,,,,,Stórkaup ehf,"{""result"":""Success"",""parentSessionClientType"":""UnknownClient"",""componentVersion"":""22.0.57579.0"",""serverExecutionTime"":""00:00:00.0014788"",""component"":""Dynamics 365 Business Central Server"",""aadTenantId"":""common"",""totalTime"":""00:00:00.0014788"",""sqlExecutes"":""2"",""authorizationStatus"":""Success"",""clientType"":""WebServiceClient"",""sqlRowsRead"":""2"",""environmentType"":""Production"",""companyName"":""Stórkaup ehf"",""parentSessionId"":""NaN"",""eventId"":""RT0004"",""telemetrySchemaVersion"":""0.6""}"
"10/30/2025, 9:47:48.140 PM",Trace,RT0008,1,,Web service called (Soap): OmniWrapper,0,TRUE,Dynamics 365 Business Central Server,Codeunit,10033100,,LS Central,22.2.0.1000616,,,Stórkaup ehf,"{""extensionVersion"":""22.2.0.1000616"",""category"":""Soap"",""alObjectId"":""10033100"",""componentVersion"":""22.0.57579.0"",""endpoint"":""OmniWrapper"",""extensionId"":""5ecfc871-5d82-43f1-9c54-59685e82318d"",""serverExecutionTime"":""00:00:00.0015265"",""component"":""Dynamics 365 Business Central Server"",""aadTenantId"":""common"",""totalTime"":""00:00:00.0015265"",""sqlExecutes"":""2"",""alObjectType"":""Codeunit"",""extensionPublisher"":""LS Retail"",""extensionName"":""LS Central"",""clientType"":""WebServiceClient"",""sqlRowsRead"":""2"",""environmentType"":""Production"",""companyName"":""Stórkaup ehf"",""eventId"":""RT0008"",""telemetrySchemaVersion"":""0.12""}"
"10/30/2025, 9:47:48.139 PM",Trace,RT0008,1,,Web service called (Soap): OmniWrapper,0,TRUE,Dynamics 365 Business Central Server,Codeunit,10033100,,LS Central,22.2.0.1000616,,,Stórkaup ehf,"{""extensionVersion"":""22.2.0.1000616"",""category"":""Soap"",""alObjectId"":""10033100"",""componentVersion"":""22.0.57579.0"",""endpoint"":""OmniWrapper"",""extensionId"":""5ecfc871-5d82-43f1-9c54-59685e82318d"",""serverExecutionTime"":""00:00:00.0014386"",""component"":""Dynamics 365 Business Central Server"",""aadTenantId"":""common"",""totalTime"":""00:00:00.0014386"",""sqlExecutes"":""2"",""alObjectType"":""Codeunit"",""extensionPublisher"":""LS Retail"",""extensionName"":""LS Central"",""clientType"":""WebServiceClient"",""sqlRowsRead"":""2"",""environmentType"":""Production"",""companyName"":""Stórkaup ehf"",""eventId"":""RT0008"",""telemetrySchemaVersion"":""0.12""}"
"10/30/2025, 9:47:48.138 PM",Trace,RT0008,1,,Web service called (Soap): OmniWrapper,0,TRUE,Dynamics 365 Business Central Server,Codeunit,10033100,,LS Central,22.2.0.1000616,,,Stórkaup ehf,"{""extensionVersion"":""22.2.0.1000616"",""category"":""Soap"",""alObjectId"":""10033100"",""componentVersion"":""22.0.57579.0"",""endpoint"":""OmniWrapper"",""extensionId"":""5ecfc871-5d82-43f1-9c54-59685e82318d"",""serverExecutionTime"":""00:00:00.0016640"",""component"":""Dynamics 365 Business Central Server"",""aadTenantId"":""common"",""totalTime"":""00:00:00.0016640"",""sqlExecutes"":""2"",""alObjectType"":""Codeunit"",""extensionPublisher"":""LS Retail"",""extensionName"":""LS Central"",""clientType"":""WebServiceClient"",""sqlRowsRead"":""2"",""environmentType"":""Production"",""companyName"":""Stórkaup ehf"",""eventId"":""RT0008"",""telemetrySchemaVersion"":""0.12""}"
"10/30/2025, 9:47:48.138 PM",Trace,RT0004,1,,Authorization Succeeded (Open Company),0,TRUE,Dynamics 365 Business Central Server,,,,,,,,Stórkaup ehf,"{""result"":""Success"",""parentSessionClientType"":""UnknownClient"",""componentVersion"":""22.0.57579.0"",""serverExecutionTime"":""00:00:00.0013524"",""component"":""Dynamics 365 Business Central Server"",""aadTenantId"":""common"",""totalTime"":""00:00:00.0013524"",""sqlExecutes"":""2"",""authorizationStatus"":""Success"",""clientType"":""WebServiceClient"",""sqlRowsRead"":""2"",""environmentType"":""Production"",""companyName"":""Stórkaup ehf"",""parentSessionId"":""NaN"",""eventId"":""RT0004"",""telemetrySchemaVersion"":""0.6""}"
"10/30/2025, 9:47:48.137 PM",Trace,RT0004,1,,Authorization Succeeded (Open Company),0,TRUE,Dynamics 365 Business Central Server,,,,,,,,Stórkaup ehf,"{""result"":""Success"",""parentSessionClientType"":""UnknownClient"",""componentVersion"":""22.0.57579.0"",""serverExecutionTime"":""00:00:00.0018360"",""component"":""Dynamics 365 Business Central Server"",""aadTenantId"":""common"",""totalTime"":""00:00:00.0018360"",""sqlExecutes"":""2"",""authorizationStatus"":""Success"",""clientType"":""WebServiceClient"",""sqlRowsRead"":""2"",""environmentType"":""Production"",""companyName"":""Stórkaup ehf"",""parentSessionId"":""NaN"",""eventId"":""RT0004"",""telemetrySchemaVersion"":""0.6""}"
"10/30/2025, 9:47:48.136 PM",Trace,RT0004,1,,Authorization Succeeded (Open Company),0,TRUE,Dynamics 365 Business Central Server,,,,,,,,Stórkaup ehf,"{""result"":""Success"",""parentSessionClientType"":""UnknownClient"",""componentVersion"":""22.0.57579.0"",""serverExecutionTime"":""00:00:00.0016002"",""component"":""Dynamics 365 Business Central Server"",""aadTenantId"":""common"",""totalTime"":""00:00:00.0016002"",""sqlExecutes"":""2"",""authorizationStatus"":""Success"",""clientType"":""WebServiceClient"",""sqlRowsRead"":""2"",""environmentType"":""Production"",""companyName"":""Stórkaup ehf"",""parentSessionId"":""NaN"",""eventId"":""RT0004"",""telemetrySchemaVersion"":""0.6""}"
"10/30/2025, 9:47:40.707 PM",Trace,LC0043,1,,Task 5a5c005f-5910-4092-bef9-bc05b94b1fbc main codeunit 448 completed.,0,TRUE,Dynamics 365 Business Central Server,,,,,,303258,,Stórkaup ehf,"{""languageId"":""1039"",""serverExecutionTime"":""00:00:00.9856501"",""isRunningFailureCodeunit"":""False"",""sessionId"":""303258"",""isReady"":""True"",""timeout"":""01:00:00"",""notBefore"":""2025-10-30T21:47:38.6270000Z"",""codeunitObjectId"":""448"",""environmentType"":""Production"",""taskId"":""5a5c005f-5910-4092-bef9-bc05b94b1fbc"",""aadTenantId"":""common"",""totalTime"":""00:00:00.9856501"",""component"":""Dynamics 365 Business Central Server"",""telemetrySchemaVersion"":""0.2"",""attemptNumber"":""0"",""failureCodeunitObjectId"":""450"",""sqlRowsRead"":""76"",""formatId"":""1039"",""eventId"":""LC0043"",""companyName"":""Stórkaup ehf"",""componentVersion"":""22.0.57579.0"",""sqlExecutes"":""101"",""result"":""Success""}"
"10/30/2025, 9:47:40.700 PM",Trace,AL0000E26,1,,Job queue entry finished: 1CD300DB-E671-45EB-B087-1C91ADA98D6A,0,TRUE,Dynamics 365 Business Central Server,CodeUnit,8713,System Telemetry Logger,System Application,22.2.56969.57617,,,Stórkaup ehf,"{""component"":""Dynamics 365 Business Central Server"",""alCallerAppVersionMinor"":""2"",""alIsEvaluationCompany"":""No"",""alJobQueueNumberOfAttemptsToRun"":""0"",""alJobQueueObjectId"":""80265"",""environmentType"":""Production"",""alJobQueueMaxNumberOfAttemptsToRun"":""100"",""alObjectId"":""8713"",""companyName"":""Stórkaup ehf"",""extensionId"":""63ca2fa4-4f03-4f2b-a480-172fef340d3f"",""alJobQueueObjectDescription"":""HAG Export"",""alCompany"":""Stórkaup ehf"",""alUserRole"":""ORDER PROCESSOR"",""alObjectType"":""CodeUnit"",""alJobQueueId"":""1cd300db-e671-45eb-b087-1c91ada98d6a"",""aadTenantId"":""common"",""alCallerPublisher"":""Microsoft"",""alCategory"":""AL JobQueueEntries"",""alJobQueueScheduledTaskId"":""5a5c005f-5910-4092-bef9-bc05b94b1fbc"",""alJobQueueObjectType"":""Codeunit"",""telemetrySchemaVersion"":""1.2"",""alCallerAppName"":""Base Application"",""extensionName"":""System Application"",""alJobQueueExecutionTimeInMs"":""942"",""alCallerAppVersion"":""22.2.56969.57617"",""alJobQueueEarliestStartDateTime"":""2025-10-30T21:48:40.6950000Z"",""alJobQueueCompanyName"":""Stórkaup ehf"",""alCallerAppId"":""437dbf0e-84ff-417a-965d-ed2bb9650972"",""clientType"":""Background"",""alJobQueueStatus"":""Ready"",""alDataClassification"":""OrganizationIdentifiableInformation"",""alJobQueueIsRecurring"":""Yes"",""componentVersion"":""22.0.57579.0"",""extensionVersion"":""22.2.56969.57617"",""alTenantLicenseState"":""Evaluation"",""alJobQueueNextScheduledTaskId"":""b023148f-a2c7-4e6e-89ad-7d1362fd00f5"",""alCallerAppVersionMajor"":""22"",""alJobQueueObjectName"":""HAG Export"",""extensionPublisher"":""Microsoft"",""alObjectName"":""System Telemetry Logger"",""eventId"":""AL0000E26"",""alClientType"":""Background""}"
"10/30/2025, 9:47:40.700 PM",Trace,AL0000E24,1,,Job queue entry enqueued: 1CD300DB-E671-45EB-B087-1C91ADA98D6A,0,TRUE,Dynamics 365 Business Central Server,CodeUnit,8713,System Telemetry Logger,System Application,22.2.56969.57617,,,Stórkaup ehf,"{""alDataClassification"":""OrganizationIdentifiableInformation"",""alCallerAppVersionMajor"":""22"",""clientType"":""Background"",""alJobQueueEarliestStartDateTime"":""2025-10-30T21:48:40.6950000Z"",""alJobQueueObjectType"":""Codeunit"",""alCompany"":""Stórkaup ehf"",""alClientType"":""Background"",""alObjectName"":""System Telemetry Logger"",""alCallerAppVersionMinor"":""2"",""alObjectType"":""CodeUnit"",""alObjectId"":""8713"",""alIsEvaluationCompany"":""No"",""alCallerPublisher"":""Microsoft"",""alJobQueueId"":""1cd300db-e671-45eb-b087-1c91ada98d6a"",""environmentType"":""Production"",""alJobQueueObjectName"":""HAG Export"",""alCallerAppName"":""Base Application"",""alJobQueueStatus"":""Ready"",""extensionPublisher"":""Microsoft"",""aadTenantId"":""common"",""extensionVersion"":""22.2.56969.57617"",""component"":""Dynamics 365 Business Central Server"",""telemetrySchemaVersion"":""1.2"",""alJobQueueMaxNumberOfAttemptsToRun"":""100"",""extensionName"":""System Application"",""alJobQueueIsRecurring"":""Yes"",""alJobQueueObjectId"":""80265"",""alJobQueueScheduledTaskId"":""b023148f-a2c7-4e6e-89ad-7d1362fd00f5"",""alJobQueueNumberOfAttemptsToRun"":""0"",""alJobQueueCompanyName"":""Stórkaup ehf"",""alCategory"":""AL JobQueueEntries"",""alJobQueueObjectDescription"":""HAG Export"",""eventId"":""AL0000E24"",""companyName"":""Stórkaup ehf"",""componentVersion"":""22.0.57579.0"",""alCallerAppId"":""437dbf0e-84ff-417a-965d-ed2bb9650972"",""alCallerAppVersion"":""22.2.56969.57617"",""alTenantLicenseState"":""Evaluation"",""alUserRole"":""ORDER PROCESSOR"",""extensionId"":""63ca2fa4-4f03-4f2b-a480-172fef340d3f""}"
"10/30/2025, 9:47:40.699 PM",Trace,LC0040,1,,Task b023148f-a2c7-4e6e-89ad-7d1362fd00f5 created: 448 scheduled to run after 2025-10-30 21:48:40Z. Ready to run: True,0,TRUE,Dynamics 365 Business Central Server,,,,,,,,Stórkaup ehf,"{""failureCodeunitObjectId"":""450"",""telemetrySchemaVersion"":""0.1"",""companyName"":""Stórkaup ehf"",""formatId"":""1039"",""environmentType"":""Production"",""timeout"":""01:00:00"",""languageId"":""1039"",""taskId"":""b023148f-a2c7-4e6e-89ad-7d1362fd00f5"",""notBefore"":""2025-10-30T21:48:40.6950000Z"",""component"":""Dynamics 365 Business Central Server"",""componentVersion"":""22.0.57579.0"",""aadTenantId"":""common"",""eventId"":""LC0040"",""isReady"":""True"",""codeunitObjectId"":""448""}"
"10/30/2025, 9:47:40.697 PM",Trace,LC0042,1,,Task 5a5c005f-5910-4092-bef9-bc05b94b1fbc removed: 448,0,TRUE,Dynamics 365 Business Central Server,,,,,,,,Stórkaup ehf,"{""failureCodeunitObjectId"":""450"",""telemetrySchemaVersion"":""0.1"",""companyName"":""Stórkaup ehf"",""formatId"":""1039"",""environmentType"":""Production"",""timeout"":""01:00:00"",""languageId"":""1039"",""taskId"":""5a5c005f-5910-4092-bef9-bc05b94b1fbc"",""notBefore"":""2025-10-30T21:47:38.6270000Z"",""component"":""Dynamics 365 Business Central Server"",""componentVersion"":""22.0.57579.0"",""aadTenantId"":""common"",""eventId"":""LC0042"",""isReady"":""True"",""codeunitObjectId"":""448""}"
"10/30/2025, 9:47:39.747 PM",Trace,AL0000E25,1,,Job queue entry started: 1CD300DB-E671-45EB-B087-1C91ADA98D6A,0,TRUE,Dynamics 365 Business Central Server,CodeUnit,8713,System Telemetry Logger,System Application,22.2.56969.57617,,,Stórkaup ehf,"{""alDataClassification"":""OrganizationIdentifiableInformation"",""alCallerAppVersionMajor"":""22"",""clientType"":""Background"",""alJobQueueEarliestStartDateTime"":""2025-10-30T21:47:38.6270000Z"",""alJobQueueObjectType"":""Codeunit"",""alCompany"":""Stórkaup ehf"",""alClientType"":""Background"",""alObjectName"":""System Telemetry Logger"",""alCallerAppVersionMinor"":""2"",""alObjectType"":""CodeUnit"",""alObjectId"":""8713"",""alIsEvaluationCompany"":""No"",""alCallerPublisher"":""Microsoft"",""alJobQueueId"":""1cd300db-e671-45eb-b087-1c91ada98d6a"",""environmentType"":""Production"",""alJobQueueObjectName"":""HAG Export"",""alCallerAppName"":""Base Application"",""alJobQueueStatus"":""In Process"",""extensionPublisher"":""Microsoft"",""aadTenantId"":""common"",""extensionVersion"":""22.2.56969.57617"",""component"":""Dynamics 365 Business Central Server"",""telemetrySchemaVersion"":""1.2"",""alJobQueueMaxNumberOfAttemptsToRun"":""100"",""extensionName"":""System Application"",""alJobQueueIsRecurring"":""Yes"",""alJobQueueObjectId"":""80265"",""alJobQueueScheduledTaskId"":""5a5c005f-5910-4092-bef9-bc05b94b1fbc"",""alJobQueueNumberOfAttemptsToRun"":""0"",""alJobQueueCompanyName"":""Stórkaup ehf"",""alCategory"":""AL JobQueueEntries"",""alJobQueueObjectDescription"":""HAG Export"",""eventId"":""AL0000E25"",""companyName"":""Stórkaup ehf"",""componentVersion"":""22.0.57579.0"",""alCallerAppId"":""437dbf0e-84ff-417a-965d-ed2bb9650972"",""alCallerAppVersion"":""22.2.56969.57617"",""alTenantLicenseState"":""Evaluation"",""alUserRole"":""ORDER PROCESSOR"",""extensionId"":""63ca2fa4-4f03-4f2b-a480-172fef340d3f""}"
"10/30/2025, 9:47:39.728 PM",Trace,RT0004,1,,Authorization Succeeded (Open Company),0,TRUE,Dynamics 365 Business Central Server,,,,,,,,Stórkaup ehf,"{""totalTime"":""00:00:00.0021510"",""telemetrySchemaVersion"":""0.6"",""companyName"":""Stórkaup ehf"",""parentSessionId"":""NaN"",""sqlRowsRead"":""7"",""environmentType"":""Production"",""serverExecutionTime"":""00:00:00.0021510"",""parentSessionClientType"":""UnknownClient"",""component"":""Dynamics 365 Business Central Server"",""authorizationStatus"":""Success"",""sqlExecutes"":""3"",""clientType"":""Background"",""componentVersion"":""22.0.57579.0"",""result"":""Success"",""aadTenantId"":""common"",""eventId"":""RT0004""}"
"10/30/2025, 9:47:38.121 PM",Trace,RT0008,1,,Web service called (Soap): OmniWrapper,0,TRUE,Dynamics 365 Business Central Server,Codeunit,10033100,,LS Central,22.2.0.1000616,,,Stórkaup ehf,"{""extensionVersion"":""22.2.0.1000616"",""category"":""Soap"",""alObjectId"":""10033100"",""componentVersion"":""22.0.57579.0"",""endpoint"":""OmniWrapper"",""extensionId"":""5ecfc871-5d82-43f1-9c54-59685e82318d"",""serverExecutionTime"":""00:00:00.0012822"",""component"":""Dynamics 365 Business Central Server"",""aadTenantId"":""common"",""totalTime"":""00:00:00.0012822"",""sqlExecutes"":""2"",""alObjectType"":""Codeunit"",""extensionPublisher"":""LS Retail"",""extensionName"":""LS Central"",""clientType"":""WebServiceClient"",""sqlRowsRead"":""2"",""environmentType"":""Production"",""companyName"":""Stórkaup ehf"",""eventId"":""RT0008"",""telemetrySchemaVersion"":""0.12""}"
"10/30/2025, 9:47:38.120 PM",Trace,RT0004,1,,Authorization Succeeded (Open Company),0,TRUE,Dynamics 365 Business Central Server,,,,,,,,Stórkaup ehf,"{""result"":""Success"",""parentSessionClientType"":""UnknownClient"",""componentVersion"":""22.0.57579.0"",""serverExecutionTime"":""00:00:00.0014811"",""component"":""Dynamics 365 Business Central Server"",""aadTenantId"":""common"",""totalTime"":""00:00:00.0014811"",""sqlExecutes"":""2"",""authorizationStatus"":""Success"",""clientType"":""WebServiceClient"",""sqlRowsRead"":""2"",""environmentType"":""Production"",""companyName"":""Stórkaup ehf"",""parentSessionId"":""NaN"",""eventId"":""RT0004"",""telemetrySchemaVersion"":""0.6""}"
"10/30/2025, 9:47:38.117 PM",Trace,RT0008,1,,Web service called (Soap): OmniWrapper,0,TRUE,Dynamics 365 Business Central Server,Codeunit,10033100,,LS Central,22.2.0.1000616,,,Stórkaup ehf,"{""extensionVersion"":""22.2.0.1000616"",""category"":""Soap"",""alObjectId"":""10033100"",""componentVersion"":""22.0.57579.0"",""endpoint"":""OmniWrapper"",""extensionId"":""5ecfc871-5d82-43f1-9c54-59685e82318d"",""serverExecutionTime"":""00:00:00.0014119"",""component"":""Dynamics 365 Business Central Server"",""aadTenantId"":""common"",""totalTime"":""00:00:00.0014119"",""sqlExecutes"":""2"",""alObjectType"":""Codeunit"",""extensionPublisher"":""LS Retail"",""extensionName"":""LS Central"",""clientType"":""WebServiceClient"",""sqlRowsRead"":""2"",""environmentType"":""Production"",""companyName"":""Stórkaup ehf"",""eventId"":""RT0008"",""telemetrySchemaVersion"":""0.12""}"
